13.699773243,1
14.744671202,2
15.713061224,3
16.793537415,4
17.794512472,5
18.884603175,6
19.864807256,7
20.873151927,8
21.890000000,9
22.927868481,10
23.929138322,11
24.962335601,12
26.028004535,13
26.934172336,14
27.958276644,15
29.015918367,16
29.991020408,17
31.087641723,18
32.089274376,19
33.089682540,20
34.170566893,21
35.192471655,22
36.246099773,23
37.257641723,24
38.259773243,25
39.354580499,26
40.423333333,27
41.502539683,28
42.558707483,29
43.619138322,30
44.707845805,31
45.726009070,32
46.747891156,33
47.804013605,34
48.867233560,35
49.891247166,36
50.936371882,37
52.019954649,38
53.002789116,39
54.011700680,40
54.950975057,41
56.109523810,42
57.140294785,43
58.171768707,44
59.428571429,45
60.523015873,46
61.517029478,47
62.550136054,48
63.667573696,49
64.696712018,50
65.742993197,51
66.766757370,52
67.764625850,53
68.765487528,54
69.760521542,55
70.809795918,56
71.882925170,57
72.935124717,58
74.040793651,59
75.037687075,60
76.180521542,61
77.241836735,62
78.250362812,63
79.337301587,64
80.338276644,65
81.387097506,66
82.419251701,67
83.459478458,68
84.489433107,69
85.537596372,70
86.587732426,71
87.569319728,72
88.578662132,73
89.620385488,74
90.597596372,75
91.579977324,76
92.562766440,77
93.559614512,78
94.540430839,79
95.536122449,80
96.502040816,81
97.560340136,82
98.500702948,83
99.522653061,84
100.503333333,85
101.469569161,86
102.500634921,87
103.504376417,88
104.456371882,89
105.443287982,90
106.569705215,91
107.531700680,92
108.575850340,93
109.580317460,94
110.611541950,95
111.577029478,96
112.587437642,97
113.567913832,98
114.615600907,99
115.590090703,100
116.609297052,101
117.676258503,102
118.610362812,103
119.626507937,104
120.642630385,105
121.621065760,106
122.646870748,107
123.635532880,108
124.680544218,109
125.753083900,110
126.718185941,111
127.744240363,112
128.800816327,113
129.799569161,114
130.893242630,115
131.914081633,116
132.985215420,117
133.962222222,118
135.034807256,119
136.086848073,120
137.133310658,121
138.154013605,122
139.174240363,123
140.337845805,124
141.336961451,125
142.367460317,126
143.404988662,127
144.406938776,128
145.367845805,129
146.393809524,130
147.423061224,131
148.520045351,132
149.585827664,133
150.825646259,134
151.884126984,135
152.935510204,136
154.008276644,137
155.078435374,138
156.131496599,139
157.148526077,140
158.267573696,141
159.282766440,142
160.260544218,143
161.328730159,144
162.344353741,145
163.393832200,146
164.465215420,147
165.513492063,148
166.503197279,149
167.667709751,150
168.719297052,151
169.732063492,152
170.900317460,153
171.902222222,154
172.952063492,155
173.970748299,156
175.031043084,157
176.078412698,158
177.130340136,159
178.156507937,160
179.143560091,161
180.115170068,162
181.120476190,163
182.078435374,164
183.063900227,165
184.028888889,166
185.013741497,167
185.987278912,168
186.983945578,169
187.949229025,170
188.992698413,171
189.923832200,172
190.975510204,173
191.998934240,174
192.961723356,175
193.930566893,176
194.940204082,177
195.905079365,178
196.884943311,179
197.866825397,180
198.844240363,181
199.873015873,182
