3.136734694,2
6.095215420,4
9.116734694,6
12.034988662,8
14.785306122,10
17.719727891,12
20.680272109,14
23.649387755,16
26.567505669,18
29.485396825,20
32.563151927,22
35.545850340,24
38.527551020,26
41.465034014,28
44.408163265,30
47.410476190,32
50.462947846,34
53.305238095,36
56.387414966,38
59.215464853,40
61.988571429,42
64.740136054,44
67.570068027,46
70.617755102,48
73.538503401,50
76.268843537,52
78.611156463,54
81.092789116,56
83.962335601,58
86.975941043,60
89.721904762,62
92.680476190,64
95.460816327,66
98.328049887,68
101.111292517,70
103.889433107,72
106.740453515,74
109.511133787,76
112.305986395,78
115.025850340,80
117.847074830,82
120.615034014,84
123.540907029,86
126.258503401,88
128.953129252,90
131.749183673,92
134.876712018,94
138.240000000,96
141.174421769,98
143.990952381,100
146.948049887,102
149.864784580,104
152.700249433,106
155.393741497,108
158.128004535,110
160.852630385,112
163.531995465,114
166.020181406,116
168.835986395,118
171.728979592,120
174.574829932,122
177.362721088,124
180.201360544,126
183.150793651,128
186.134557823,130
188.997256236,132
191.980748299,134
194.865895692,136
197.581541950,138
200.564648526,140
203.810000000,142
206.977709751,144
209.855850340,151
214.395646259,153
