0.457142857,4
2.644897959,6
4.733129252,8
6.767505669,10
8.756235828,12
10.805079365,14
13.001564626,16
15.017755102,18
17.111156463,20
19.272562358,22
21.455238095,24
23.578253968,26
25.762539683,28
28.010045351,30
30.319455782,32
32.565646259,34
34.918117914,36
37.079365079,38
39.292517007,40
41.447619048,42
43.639954649,44
45.841473923,46
48.092380952,48
50.380045351,50
52.671383220,52
54.820861678,55
57.186394558,57
59.392290249,59
61.610430839,61
63.790680272,63
65.770816327,65
67.835442177,67
70.018253968,69
72.112471655,71
74.332879819,73
76.357369615,75
78.490702948,77
80.726099773,79
82.847414966,81
85.016462585,83
87.222698413,85
89.467482993,87
91.567891156,89
93.640589569,91
95.808390023,93
97.845646259,95
100.057800454,97
102.258458050,99
104.285442177,101
106.376757370,103
108.514761905,105
110.596825397,107
112.692766440,109
114.656598639,111
116.802267574,113
119.077528345,115
121.213242630,128
123.233424036,130
125.483287982,132
127.558185941,134
130.009569161,136
132.107959184,138
134.163650794,140
136.464557823,142
138.753741497,144
141.416780045,146
143.600907029,148
146.005306122,150
148.228390023,152
150.548004535,154
153.009614512,156
155.406802721,158
158.168049887,160
163.091156463,166
